"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест функции для определения тренда на разных таймфреймах","94","test_determine_trend","tests","Thu Jun 26 17:46:48 GMT 2025","passed","Thu Jun 26 17:46:48 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jun 26 17:46:48 GMT 2025","passed","Thu Jun 26 17:46:48 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","4","test_find_imbalance","tests","Thu Jun 26 17:46:48 GMT 2025","broken","Thu Jun 26 17:46:48 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","29","test_find_imbalance","tests","Thu Jun 26 17:46:48 GMT 2025","broken","Thu Jun 26 17:46:48 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limit_order[Buy]","tests","Thu Jun 26 17:46:07 GMT 2025","broken","Thu Jun 26 17:46:07 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limits","tests","Thu Jun 26 17:46:07 GMT 2025","broken","Thu Jun 26 17:46:07 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_market_order[Buy]","tests","Thu Jun 26 17:46:07 GMT 2025","broken","Thu Jun 26 17:46:07 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Thu Jun 26 17:46:48 GMT 2025","broken","Thu Jun 26 17:46:48 GMT 2025","","integration_test","",""
"","0","test_market_order[Sell]","tests","Thu Jun 26 17:46:28 GMT 2025","broken","Thu Jun 26 17:46:28 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_tp_sl_order_mock","tests","Thu Jun 26 17:46:07 GMT 2025","broken","Thu Jun 26 17:46:07 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","23","test_find_imbalance","tests","Thu Jun 26 17:46:48 GMT 2025","broken","Thu Jun 26 17:46:48 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Thu Jun 26 17:46:48 GMT 2025","passed","Thu Jun 26 17:46:48 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_get_current_price_of_coin","tests","Thu Jun 26 17:46:28 GMT 2025","broken","Thu Jun 26 17:46:28 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","82","test_detect_trend","tests","Thu Jun 26 17:47:08 GMT 2025","passed","Thu Jun 26 17:47:08 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_find_tp_sl_order_mock","tests","Thu Jun 26 17:46:28 GMT 2025","broken","Thu Jun 26 17:46:28 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order","tests","Thu Jun 26 17:46:48 GMT 2025","broken","Thu Jun 26 17:46:48 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Sell]","tests","Thu Jun 26 17:46:28 GMT 2025","broken","Thu Jun 26 17:46:28 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","54","test_check_volumes","tests","Thu Jun 26 17:46:48 GMT 2025","passed","Thu Jun 26 17:46:48 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Thu Jun 26 17:46:48 GMT 2025","broken","Thu Jun 26 17:46:48 GMT 2025","","integration_test","",""
