"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_get_current_price_of_coin","tests","Wed Oct 15 18:38:01 GMT 2025","broken","Wed Oct 15 18:38:01 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_tp_sl_order_mock","tests","Wed Oct 15 18:37:40 GMT 2025","broken","Wed Oct 15 18:37:40 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_limit_order[Buy]","tests","Wed Oct 15 18:37:40 GMT 2025","broken","Wed Oct 15 18:37:40 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","67","test_find_imbalance","tests","Wed Oct 15 18:38:41 GMT 2025","broken","Wed Oct 15 18:38:41 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_limit_order[Sell]","tests","Wed Oct 15 18:38:01 GMT 2025","broken","Wed Oct 15 18:38:01 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Wed Oct 15 18:38:21 GMT 2025","passed","Wed Oct 15 18:38:21 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Sell]","tests","Wed Oct 15 18:38:01 GMT 2025","broken","Wed Oct 15 18:38:01 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order_mock","tests","Wed Oct 15 18:38:01 GMT 2025","broken","Wed Oct 15 18:38:01 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","33","test_find_imbalance","tests","Wed Oct 15 18:38:21 GMT 2025","broken","Wed Oct 15 18:38:21 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения тренда на разных таймфреймах","57","test_determine_trend","tests","Wed Oct 15 18:38:21 GMT 2025","passed","Wed Oct 15 18:38:21 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции для определения имбаланса на разных таймфреймах","58","test_find_imbalance","tests","Wed Oct 15 18:38:21 GMT 2025","broken","Wed Oct 15 18:38:21 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_market_order[Buy]","tests","Wed Oct 15 18:37:40 GMT 2025","broken","Wed Oct 15 18:37:40 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"","0","test_find_tp_sl_order","tests","Wed Oct 15 18:38:21 GMT 2025","broken","Wed Oct 15 18:38:21 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции проверки объемов check_volumes","41","test_check_volumes","tests","Wed Oct 15 18:38:21 GMT 2025","passed","Wed Oct 15 18:38:21 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"Тест функции расчета среднего объема avg_volume","0","test_avg_volume","tests","Wed Oct 15 18:38:21 GMT 2025","passed","Wed Oct 15 18:38:21 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_open_and_cancel_tp_sl_order[Sell]","tests","Wed Oct 15 18:38:21 GMT 2025","broken","Wed Oct 15 18:38:21 GMT 2025","","integration_test","",""
"","0","test_limits","tests","Wed Oct 15 18:37:40 GMT 2025","broken","Wed Oct 15 18:37:40 GMT 2025","TestSpotOrders","SpotOrders_test","",""
"Тест функции для определения тренда на разных таймфреймах","59","test_detect_trend","tests","Wed Oct 15 18:38:21 GMT 2025","passed","Wed Oct 15 18:38:21 GMT 2025","TestTechAnalysis","Techanalysis_test","",""
"","0","test_open_and_cancel_tp_sl_order[Buy]","tests","Wed Oct 15 18:38:21 GMT 2025","broken","Wed Oct 15 18:38:21 GMT 2025","","integration_test","",""
